English,ISL-Gloss
Are you sure you don't want one?, you sure you want one want no
Tom made three errors., tom three error make
It was time for lunch., it time for lunch
It looks like snow., it snow look like
Tom is still in his uniform., tom his still his uniform
I wish you had come with us., i you us wish come with
They were scolded by the teacher., they by teacher teacher scold by
Can anyone pronounce this word?, anyone this word pronounce
I like to be prepared., i like prepare
He just cares about himself., he just himself care about
He appeared from nowhere., he appear from
There's no stopping now., there no stop now 's stop now
They abandoned the hill to enemy forces., they hill enemy force abandon
I am growing to hate the girl., i girl grow hate
I'll excuse your carelessness this time., i your your carelessness this time excuse
That's a crime., that crime
Can we just drop it?, we just it drop
There's a guy downstairs asking for you., there guy downstairs ask you 's ask for
You almost died., you almost die
Shut the door tight., door tight shut
Tom is defenseless., tom defenseless
When did you get there?, you there get there when
This watch is better than that one., this watch good than this that one
Be nicer to your sister., nicer your your sister
She attacked him with her fists., she her him her fist attack
Isn't there something we can do?, there we something do do no
I put it here somewhere., i it here somewhere put
I feel like an idiot., i idiot feel like
She appears to have been rich., she rich appear
We're not going anywhere., we anywhere go anywhere no
I didn't buy the book., i book buy no
You can't carry on like this., you this carry on no
Websites collect information about you., websites information about you collect
He killed himself by taking poison., he himself poison kill take
"Give me a coffee, please.", me coffee give
Drink a lot of water., lot of water drink
Don't miss this amazing opportunity., amaze this amaze opportunity miss no
I think God is a woman., i god woman think
You must learn from your mistakes., you your your mistake learn from
What's Tom doing with my car?, tom my my car do with what
I'm not sure if this is correct., i sure this correct no
We're still involved., we still involve
The children made a giant snowman., child giant giant snowman make
He is busy preparing for the trip., he busy prepare trip prepare for
"You've got your permit, right?", you your right your permit get
Tom enjoys telling jokes., tom joke enjoy tell
Mom! Stop! You're embarrassing me., you me stop embarrass
What would you like to do tomorrow?, you tomorrow like do what
The weather is terrible., weather terrible
I wasn't feeling very hungry., i very hungry very feel very no
We have a surprise., we surprise have
I haven't decided., i decide no
I'm being careful., i careful
Where are you living now?, you now live now where
He treats me like a child., he me child treat
Don't you see what's going on?, you see go on what no
I've always wanted to play the trombone., i always trombone want play
Did you write this book?, you this book write
I'm very sorry I lied., i very sorry i lie very lie
I cut myself shaving this morning., i myself this morning cut shave
I know Tom understands., i tom know understands
This is a lion., this lion
Can it wait another hour?, it another hour wait
We understand each other., we other each other understand
Please say that once again in French., that once again french say
Further testing is required., further test require
The schoolboys teased each other endlessly., schoolboy other each other endlessly tease
Don't touch it., it touch no
She was burning to tell the secret., she secret burn tell
That will not change., that change no
Milk does not agree with me., milk me agree with no
You did not come to school yesterday., you school yesterday come to no
How will I pay my debts?, i my my debt pay how
Can I use a credit card?, i credit card use
Don't expect anyone to help you., anyone you expect help no
No one has a problem., no one no problem have
I've never actually seen a real cow., i real actually real cow see no
Do you still hate French?, you french still french hate
Tom always shouts when he is angry., tom he angry always shout when
The sky was completely dark., sky completely dark completely
You're not old enough to drink., you old enough drink enough drink no
Tom was unsure what he should do., tom unsure he do do what
I had no time to eat., i no time eat have eat
Take Tom outside., tom outside take
She is known to everyone., she everyone know to
I'm sure Tom intended to do that., i sure tom intend that intend do
How many of us get the chance?, many of us chance get how
Why are you flinching?, you flinch why
I studied French in college., i french college study
Is it a deer?, it deer
I had to wait., i have wait
Stop deluding yourselves., yourselves stop delude
I've never even had a girlfriend., i even girlfriend have no
When will you come back?, you back come back when
I think you deserve this., i you this think deserve
There's a place for us., there place for us 's
Change is needed., change need
At least we're still in one piece., least we at least still one piece
She has a funny face., she funny funny face have
It's getting cold., it cold get
They are very interested in astronomy., they very interested in very astronomy
Show me what you're holding., you me what show hold
I needed a change., i change need
Tom has a horse., tom horse have
Isn't it black?, it black no
Do you plan to rent a car?, you car plan rent
Why don't I have a girlfriend?, i girlfriend have why no
This drives me nuts., this nut me nut drive
She got a present from her boyfriend., she her present from her boyfriend get
I spilled my coffee on the carpet., i my my coffee carpet spill
I'm going to teach you some karate., i you some karate go teach
I don't believe a word you say., i you word say believe say no
We played cards last night., we last card last night play
He drank detergent by mistake., he detergent mistake drink
This is outrageous., this outrageous
Tom isn't used to city life., tom city life use to no
I know what they are thinking., i they know think what
He began to sing., he begin sing
Your eyes are very beautiful., your eye very beautiful very
You're my best customer., you my best my best customer
You've got to be reasonable about this., you reasonable about this get
I'll be back in a few months., i few back in few month
Don't forget to put on some sunscreen., some sunscreen forget put on no
Let's schedule a meeting for next Monday., 's next meet for next monday let schedule
The mailman comes around every three days., mailman around every three day come around
I really think I should drive., i i really think drive
It's always a pleasure to see you., it always pleasure see you see
Please come again two weeks from today., again two week today come again
I was burned., i burn
"You're still mad, aren't you?", you mad you still no
I want that book., i that book want
The desk has three drawers., desk three drawer have
Where's convenient for you?, convenient for you where
You can sit down if you want., you you sit down want
The acting is very good., act very good very
Are those people terrorists?, those people those terrorist
They won't make it., they it make no
You can still change your mind., you your still your mind change
What he said would happen has happened., he say happen say happen happen what
See things as they are., they thing see
Tom is eating., tom eat
He had fun with it., he fun it have
He came out on top., he top come out
Tom said he'd only talk to you., tom he only you say talk to
I know as little as you do., i little you as little do know as do
It was very nice seeing you again., it very nice very you again see
She left here long before you arrived., she you here long leave here arrive
You don't look happy., you happy look no
Admission is free on Sundays., admission free on sundays
Sugar dissolves in water., sugar water dissolve in
Do you have a nail file?, you nail file have
I don't like you very much., i you very much like no
I like to drink., i like drink
There were no survivors., there no survivor be
These are serious difficulties., these serious serious difficulty
Do you deny that you went there?, you you there deny go there
Please tell us about it., us it tell
You were such a big help yesterday., you big such big help yesterday
Let's try to win every game., 's every game let try win
People thought that she was dead., people she dead think
This work doesn't pay., this work this pay no
Have you ever eaten at this restaurant?, you ever this restaurant eat at
He is more clever than wise., he more clever than wise more
The negotiation is off., negotiation off
I want the fan., i fan want
Don't tell me you stole it., you me it tell steal no
I need to charge my cell phone., i my my cell phone need charge
You need to accept your role., you your your role need accept
Have they responded?, they respond
You work harder than anyone here., you hard than anyone here work hard
We caught the thief., we thief catch
Tell me what the matter is., matter me what tell
Everyone said no., everyone say
We have snow in January., we snow january have
Do you really think we'll find Tom?, you we really tom think find
The boat can still be seen., boat still see
I'd like this fight to end., i this fight end like end
How about taking a rest?, rest take how
You know what you have to do., you you know have do what
I don't want to discuss it., i it want discuss no
Will you watch the Super Bowl?, you super bowl watch
Tom is in need of help., tom need of help
"If you're happy, I'm glad.", you happy i glad
When did you get married?, you marry when
It keeps getting harder and harder., it hard and hard keep get
Our country's climate is temperate., our country 's climate temperate
Tom quickly became famous., tom famous quickly become
Is he going to help us?, he us go help
Why did you listen to them?, you them listen to why
What's this dog's name?, this dog 's name this what
It's time we went home., it we time go home go home
Tom has his own bedroom., tom his own his own bedroom have
You should get your eyes examined., you your eye get examine
I didn't see anybody., i anybody see no
Are you hot?, you hot
This laptop computer is very thin., this laptop computer very thin this very
Tom didn't get a reply., tom reply get no
He cut off a slice of meat., he slice of meat cut off
Tom tried to do that yesterday., tom that yesterday try do
Can I do anything?, i anything do
It's very big., it very big very
Stir the soup., soup stir
I'm not ugly., i ugly no
Do you want to have it washed?, you it want have wash
I hated that movie., i that movie hat
I've worked with Tom., i tom work with
French is very difficult to learn., french very difficult learn very learn
The teacher began to ask us questions., teacher us question begin ask
He said nothing., he nothing say
Tom tore the paper in half., tom paper half tear
We ran out of food., we food run out
I am afraid of heights., i afraid of height
You need to study harder., you harder need study harder
You're in big trouble now., you big big trouble now
I feel happy., i happy feel
You're the smartest man I know., you smart i smart man know know
He is afraid of death., he afraid of death
"At last, it began to rain.", last it begin rain
He must have entered this room., he this room enter
He told a funny story., he funny funny story tell
Will you do that today?, you that today do
They were all teachers., they all teacher
You've done the best you can do., you best you best do do do
Who is that pretty girl?, that pretty pretty girl who
He is on the team., he team
Please write down everything I say., i everything say write down say
I'm not capable of doing that., i capable of that do no
I didn't try to kill myself., i myself try kill no
I don't know what I owe you., i i you know owe what no
That's all I can say., that i all say say
I'm running out of closet space., i closet space run out
A crowd gathered at the scene., crowd scene gather at
Are you sure we've never met before?, you sure we meet before meet before no
All of them are not poor., all of poor them no
Are you sure you're not tired?, you sure you 're tire no
Do you have dinner plans?, you dinner plan have
He denied having said such a thing., he such thing deny say
I'm sure things will work out., i sure thing work work out
You know where to find me., you me know find where
Take the money and run., money take
Where's the red tie I bought you?, red tie i buy you buy where
Did you have fun last night?, you last fun last night have
How big you are!, big you how
Has Tom become crazy?, tom crazy become
I never think about it., i it think about no
This cat is Tom's., this cat this tom 's
I'm the boss., i bos
I'm glad you're OK again., i glad you 're ok again
Do you really want me to go?, you me really want go
I didn't think you were needed., i you think need no
There isn't much wind today., there much much wind today no
Turn in your homework., your your homework turn in
Can you drive a manual transmission?, you manual manual transmission drive
I didn't know she was married., i she marry know marry no
I'm staying with you., i you stay with
I saw you., i you saw
How many mosques are there in Istanbul?, many mosque there istanbul how
I was young and stupid., i young and stupid
You're such a flirt., you such flirt
That's a very beautiful painting., that beautiful very beautiful paint
It's what I would do., it i do what
Nobody is too old to learn., nobody too old learn too learn
She's a very wise mother., she wise very wise mother
Could you drive more slowly?, you more slowly drive more
He was present at the meeting yesterday., he present meet yesterday
The prices are high., price high
Please throw the ball., ball throw
He can barely read., he barely read
I prefer to study at night., i night prefer study at
She has nothing in common with him., she common nothing in common him have
They're all here., they here
I was deeply impressed by the scenery., i by scenery deeply scenery impress by
Tom is afraid of you., tom afraid of you
I'm sorry if I embarrassed you., i sorry i you embarrass
We all have changed., we all change
That's a generous offer., that generous generous offer
I'll do that tomorrow., i that tomorrow do
I think you'd better leave., i you better think leave
His speech was not altogether bad., his speech bad altogether no
I'm exhausted. I'm going to bed., i exhausted i bed go to
Tom got almost everything he asked for., tom he almost everything ask get almost ask for
What time is your Basque class?, your basque class what time
We used to play games like tag., we game like tag use play
How many people are in your crew?, many people your your crew how
I think that's up to you now., i that you now think
Tom isn't here., tom here no
I'm proud to be your father., i proud be your your father
You're scaring the kids., you kid scar
I thought you might want to know., i you think want know
She rejected my proposal., she my my proposal reject
The earth moves around the sun., earth sun move around
You look like you're happy., you you happy look
That's a pretty girl., that pretty pretty girl
I can't go any farther., i any farther go any no
The light is on in Tom's room., light tom 's on tom room
Let the animals out of their cages., animal their their cage let
They want you dead., they you dead want
I saw Tom going into the cave., i tom cave saw go into
I try not to think about it., i it try think about no
I think you're interesting., i you interest think
Are you going to work until 10:00?,you 10:00 go work until
I like all of them., i all of them like
You didn't need to tell me that., you me that need tell no
Am I included?, i include
I'd like to buy a map., i map like buy
We'll talk about it later., we it later talk about
There isn't much snow on the ground., there much much snow ground no
I can't believe you'd be so stupid., i you so stupid so believe no
I've heard of you., i you hear of
Human cruelty has no limits., human cruelty no limit have
They look cool., they cool look
He loves writing entries for Wikipedia., he entry wikipedia love write
I feel bad about it., i bad about it feel
We should've paid attention., we attention pay
I'm aware of the possibility., i aware of possibility
I can't go., i go no
He likes swimming in the summer., he summer like swim in
I owe you so much., i you so much owe
I always wanted to be a teacher., i always teacher want
I'd like a little bit of cake., i little little bit of cake like
I hope you're happy., i you happy hope
I love you both., i you both love
Nobody in my family can do that., nobody in my my family that do
It was a big one., it big big one
She refuses to say more about it., she more more about it refuse say
That store sells meat and fish., that store that meat and fish sell
She found a nice tie for me., she nice nice tie for me find
I did it for him., i it him do
How do we explain this?, we this explain how
Is this fish still alive?, this fish alive this still
What you did to Tom was cruel., you do to cruel tom what
Where were you born?, you bear where
My children rarely go outside., my child rarely outside go outside
I like your costume., i your your costume like
Is the job too much for you?, job too much too you
You gotta get more organized., you more organize more get get more
He's out taking a walk., he walk take
What are you going to do tonight?, you tonight go do what
Tom and Mary look nice., tom and mary nice look
I want to try something else., i something else want try
I prepared two translations of the text., i two translation of text prepare
Tom played the piano and Mary sang., tom mary piano play sang
I wish I were famous., i i famous wish
I'll tell you a secret., i you secret tell
I'm to blame., i blame
That wasn't very nice of you., that very nice of very you no
Tom stole the ring., tom ring steal
I'll never work for you., i you work for no
That's accurate enough., that accurate enough enough
Right now I don't have any time., i right now any time have no
I do want to be your friend., i your your friend want
Thank you for today., you today thank
I think Tom is likely to cry., i tom likely cry think cry
It was effective., it effective
Let's begin on page 30.,'s page 30 let begin on
Is this ethical?, this ethical
We spoke French together., we french together speak
This theory is scientifically controversial., this theory scientifically controversial this scientifically
"Hey, where's Tom?", tom where
The ceremony was impressive., ceremony impressive
The baby kept crying all night., baby all night keep cry
What is love?, love what
He was sick of his job., he sick of his his job
I sat down next to him., i next to him sit down
Don't spread yourself too thin., thin yourself too thin spread no
They concluded he was lying., they he conclude lie
I'd like to see your sister., i your your sister like see
My father was an actor., my father actor
I'd like some chocolate cake., i some chocolate cake like
I could never do anything like that., i anything like that do no
Few people think so., few people so think so
These are questions that I can't answer., these i question that answer answer no
Those numbers don't add up., those number those add up no
He works as a busboy., he busboy work as
What do you think of this hat?, you this hat think of what
I'm glad that you'll come., i glad you come come
I have faith in you., i faith in you have
I got divorced., i divorce
Over three thousand people attended the concert., thousand people over three thousand concert attend
Am I hungry!, i hungry
When are you going to call?, you go call when
I hear you're good at French., i you good at french hear
Mary is making a dress for herself., mary dress herself make
There's some leftover food in the fridge., there some leftover food in fridge 's
Don't bother getting up., bother get up no
What have you done?, you do what
How would you like your eggs?, you your your egg like how
I'm sure it was just a misunderstanding., i sure it be just misunderstand
This job has no future., this job this no future have
Are you proud of me?, you proud of me
The weather is very cold in Istanbul., weather very cold very istanbul
I'm sure that won't be necessary., i sure that be necessary no
She works hard., she hard work hard
Tom lived there for many years., tom many there many year live there
Where do you think we came from?, you we think come from where
Just don't forget this., just this forget no
You're very clever., you very clever very
I'm not exactly sure., i exactly sure exactly no
You cannot do this., you this do no
I can't swim at all., i at all swim at no
She smiled and accepted my little present., she my little my little present smile accept
Was that too much?, that much too much
I never lied to you., i you lie to no
There is no wind today., there no wind today
"Sorry, I didn't mean to scare you.", i you mean scare no
We've really got to step on it., we really it get step on
Don't count on his help., his his help count on no
There's nothing to be scared of., there scar of nothing be 's
What keeps you going?, you go what
I hope that she will help me., i she me hope help
It's really not that expensive., it that expensive really that no
Do you go to school by bus?, you school bus go to
What's in front of you?, front of you what
I don't know what the answer is., i answer know what no
We need to weigh our options., we our our option need weigh
I advise you to be punctual., i punctual you advise
I can understand him perfectly., i him perfectly understand
You have my word., you my my word have
I feel like going to the movies., i movie feel like go to
That dress seems to be very expensive., that dress very expensive that very seem
You chose a good one., you good good one choose
I also found this., i also this find
Did you empty the dishwasher?, you dishwasher empty
I want to retire., i want retire
What do you plan to do?, you plan do what
Does Tom like to swim?, tom like swim
I'm getting more and more gray hair., i more more gray more gray hair get
I don't like goat cheese at all., i goat cheese at all like goat no
I don't forget my friends., i my my friend forget no
I don't think Tom was mistaken., i tom mistake think no
He turned to his friend for help., he his his friend help turn to
I caught them in the act., i them act catch
You'll catch a cold., you cold catch
I feel bad about ruining your party., i bad about your your party feel ruin
I paid him the money last week., i last him money last week pay
He isn't who he says he is., he he he say who no
You're not fired., you fire no
When did you find out?, you find out when
Just do what I did., i just do do what
Tom helped us extinguish the fire., tom us fire help extinguish
Are you really that stupid?, you that stupid really that
"In general, kids like ice cream.", general ice cream
What did your mom say?, your mom say what
There's a possibility of war., there possibility of war 's
Tom keeps hanging up on me., tom me keep hang up
It rained a lot that winter., it lot that winter rain
Please go on with your dinner., your your dinner go on
You said you didn't care., you you say care no
No one knows what to say., no one no know say what
I'm being held hostage., i hostage hold
"It won't hurt, I promise.", it i hurt promise no
Someone was here., someone here
I love winning., i love win
I think that might be wise., i that wise think
The atomic number for hydrogen is 1., atomic number for hydrogen one
Don't tell me what to do., me tell do what no
He can't take care of himself., he care himself take no
The murder remains a mystery., murder mystery remain
I'm shorter than you., i short than you
We can't turn back now., we back now turn back no
It's for free., it free
I need to know where you are., i you need know where
I can't really remember., i really remember no
It just came out., it just come out
Do you all feel that way?, you all that way feel
I think we need a doctor., i we doctor think need
We never talked about that again., we that again talk about no
They're all terrified., they all terrified all
You heard your mother., you your your mother hear
Where can I buy silk?, i silk buy where
Are you busy?, you busy
There is an exception to every rule., there exception to every rule
Who's at home?, home who
I don't want your business., i your your business want no
I'm not good-looking., i good - looking looking no
I don't know how to do it., i it know do how no
You aren't looking., you look no
His child behaves well., his child well behaves well
How are your grades?, your grade how
Please give us some examples., us some example give
Everyone was horrified., everyone horrify
Tom became a doctor., tom doctor become
It's essential that we find them., it essential we them find
I'm living in Boston., i boston live in
You're too polite., you too polite too
I'm tired of pretending., i tired of pretend
Which one will he choose?, he which one choose
They paid separately., they separately pay separately
I bathe every day., i every day bathe
There may be a way., there way
Do you go to church?, you church go to
Don't raise your voice at me., your your voice me raise no
Why would I want to help Tom?, i tom want help why
Please give me the book., me book give
He always wears blue shirts., he blue always blue shirt wear
Aren't you hungry?, you hungry no
I forgot all about that., i all that forget all
Tom was sure of himself., tom sure of himself
Are you no longer in pain?, you no longer pain
I was confronted with many difficulties., i many many difficulty confront with
Don't run risks., risk run no
I just got back in town., i just back in town get back
What's the longest river in Australia?, long long river in australia what
Tom asked for my number., tom my my number ask for
They'll tell you the truth., they you truth tell
Tom doesn't know how much Mary weighs., tom much much know weighs how no
I really am very busy., i very busy really very
Proper qualifications are required for the position., proper qualification position require for
I opened a bottle of red wine., i red bottle of red wine open
I'm at school now., i school now
I need to earn more money., i more more money need earn
His story is true., his story true
We can leave after lunch., we lunch leave after
I know nothing about her., i nothing about her know
I'm too tired to swim., i too tire swim too swim
No one is speaking., no one no speak
I will do anything that you ask., i you anything that ask do ask
She smells bad., she bad smell
Tom loves Mary., tom mary love
I thought you wanted to wait., i you think want wait
The king's son was kidnapped., king 's son kidnap
I'm allergic to dogs., i allergic to dog
Be quiet while I am speaking., quiet i speak
Know your enemy., your your enemy know
Tom is doing just fine., tom fine just fine do just
I've lived a hard life., i hard hard life live
Do you believe in UFOs?, you ufos believe in
They are five in all., they five in all
Quit behaving like a kid., kid behave like
Could you move the chair a bit?, you chair bit move
The house is not occupied now., house now occupy now no
I don't think that changes anything., i that anything think change no
I'm not saying that you're not beautiful., i you beautiful say no
Tom felt a little nauseated., tom little nauseated felt nauseated
I think Tom can help., i tom think help
I didn't move., i move no
You didn't understand me., you me understand no
What a brilliant idea!, brilliant what
I can't hear it., i it hear no
Go get me another beer., me another beer get
I'm the surgeon., i surgeon
You told me that you were busy., you you busy me tell
I'll call you later today., i you later today call
Do as you want., you do want
Do you have any cash?, you any cash have
I know Tom was distracted., i tom know distract
Tom writes well., tom well write well
Tears are a child's weapon., tears child 's child weapon
Tom changed jobs., tom job change
You'll find the letter under these papers., you letter under these paper find
We're having breakfast., we breakfast have
I'll leave Boston tonight., i boston tonight leave
I guess it shouldn't really matter., i it really guess matter no
Do you like anchovies?, you anchovy like
Mom has a fever., mom fever have
Your watch is on the desk., your watch desk
It's rude to point at anyone., it rude anyone point at
Let's all help Tom do that., 's tom all that let help do
My boss isn't satisfied with my report., my bos satisfy with my my report no
Personal liberty is diminishing nowadays., personal liberty nowadays diminish nowadays
I didn't get much sleep last night., i much last much sleep last night get no
The lights went out., light go out
Are you being serious?, you serious
I'm not ready to fight., i ready fight fight no
He deserves the prize., he prize deserve
You seem a little nervous., you little nervous little nervous seem
It all depends how you handle it., it all you it depend handle how
Kissing Tom was a mistake., kissing tom mistake
It always happens the same way., it same always same way happen
Tom wouldn't have done that., tom that do no
He caught a large trout., he large large trout catch
I feel lonely., i lonely feel
I don't mind if you leave., i you mind leave no
Tom doesn't know much about guns., tom much much about gun know no
The doors are shut., door shut
Is that important?, that important
I know that this is weird., i this weird know
He's a senior., he senior
I don't know what you're looking for., i you know look for what no
Only 514 people have been in space.,514 people only 514 space
I suppose Tom will be back soon., i tom back soon suppose
She's as busy as Tom., she as busy as as tom
That's all I do here., that i all do here do here
Did you forget?, you forget
His curiosity knew no bounds., his curiosity no bound know
Tom isn't really Canadian., tom canadian really no
She gave me a strange look., she strange me strange look give
There's something strange here., there strange something strange here 's
We must do it again., we it again do
Please water the flowers., flower water
He felt very lonely., he very lonely very felt very
Don't push me., me push no
Aren't you satisfied?, you satisfy no
I thought you'd be older., i you old think
Such incidents are quite common., such incident quite common quite
"Show me the photos, please.", me photo show
My camera is different from yours., my camera different from yours
I'll stay with Tom until you return., i you tom stay with return
There's nowhere for you to hide., there you nowhere 's nowhere hide
Would you please stop talking?, you stop talk
Tom wasn't complaining., tom complain no
Will you eat dinner?, you dinner eat
I've learned a lot from Tom., i lot tom learn
Tom is a better singer than Mary., tom good good singer than mary
No one lives here anymore., no one no here anymore live here
"Tom, you should see this.", you tom this see
"I like music, particularly classical music."," i classical music , particularly music like"
I'm giving up smoking., i smoke give up
I don't agree with you., i you agree with no
I don't want to lose my boyfriend., i my my boyfriend want lose no
This isn't good for Tom., this good for tom no
You may take the book., you book take
That's something I can't tell you., that i something tell you tell no
I don't really have a gun., i really gun have no
I'm sorry about the other day., i sorry about other other day
I'm sure this is only temporary., i sure this only temporary only
What we're doing is dangerous., we 're do dangerous do what
"You were terrified, weren't you?", you terrify you terrify no
Tom escaped from his cell., tom his his cell escape from
Who was that who answered your phone?, that your your phone answer who
I'm just looking out for myself., i just myself look out
Please be serious., serious
He has a short attention span., he short short attention span have
Bread is made from wheat., bread wheat make from
We went into the red last year., we last red last year go into
Did you get the loan?, you loan get
"I was alone, studying.", i alone study
I only have one condition., i only one condition have
Do you play tennis well?, you tennis well play
It's not going to end well., it well go end well no
Anyone can do it if they try., anyone they it do try
Writers often refer to a dictionary., writers often dictionary refer to
I'm pleased with my new jacket., i pleased with my new my new jacket
Please take good care of yourself., good good care of yourself take
Tom disappeared into the crowd., tom crowd disappear into
Have you gone completely insane?, you completely insane completely go completely
Save your strength., your your strength save
I usually eat rice with chopsticks., i usually rice chopstick eat
I thought Tom was at school., i tom school think
Tom needs a bath., tom bath need
I love her and she loves me., i she her me love love
They each received a present., they each present receive
I don't think anyone thinks you're crazy., i anyone you crazy think think no
Tom refused to sign the document., tom document refuse sign
This is your community., this your your community
I forgot to telephone him today., i him today forget telephone
She said she was happy., she she happy say
You don't seem tired at all., you tire tire at all seem no
It is too early to get up., it too early get too get up
We want one., we one want
Find a solution., solution find
Is that all you're worried about?, that you worried about all 're
That's too difficult for me., that too difficult for too me
I've got nowhere to go., i nowhere get nowhere go
Why don't we duck back inside?, we back inside duck back why no
I know your problem., i your your problem know
What would you do differently?, you differently do differently what
Did you drop it?, you it drop
I'll take a shortcut across the garden., i shortcut garden take
I usually stay indoors on Sunday., i usually indoors sunday stay
I need a little more time., i little more little more time need
Tom seems to have trouble walking., tom trouble walk seem have walk
He seems to make nothing of it., he nothing of it seem make
Eat your veggies., your your veggie eat
He was sent abroad as a correspondent., he abroad correspondent send abroad
I wish they would stop fighting., i they wish stop fight
I have already read today's paper., i today 's already today paper read
I think I just found the problem., i i just problem think find
He works at the bank., he bank work at
Did you help?, you help
That's better than nothing., that good than nothing
It's going to be harder this time., it hard this time go
Take a look at these., look at these take
"You know her name, don't you?", you her you her name know do no
How important is music in your life?, important music in your your life how
You look busy., you busy look
Maybe I should slow down., i maybe slow down
I don't have a girlfriend., i girlfriend have no
My favorite dance is the tango., my favorite dance tango
The sun is rising now., sun now rise now
I've been gone for a long time., i long long time go for
It took exactly an hour., it exactly hour take exactly
That toy is selling like hot cakes., that toy hot that hot cake sell like
Is there something you haven't told me?, there you something tell me tell no
Tom paid Mary cash., tom mary cash pay
Are you sure you don't want anything?, you sure you want anything want no
Control your fear., your your fear control
He is planning to develop his business., he his his business plan develop
I was excited., i excite
The British would need strong leadership., british strong strong leadership need
Nature is changing., nature change
Does everybody do that?, everybody that do
I went out to get help., i help go out get
Can you tell us what you're wearing?, you you us tell wear what
