English,ISL-Gloss
"Suddenly, 100 workers were laid off.",100 worker suddenly 100 lay off
I'm being promoted., i promote
Your mother loves me., your mother me love
"Tom lived in Boston before, right?", tom right boston before live in
I think you should take vitamins., i you vitamin think take
I think I read that somewhere., i i that somewhere think read
I don't want to shoot you., i you want shoot no
The old woman is a doctor., old woman doctor
They walked upstairs., they upstairs walk upstairs
The king oppressed his people., king his his people oppress
The barn is full of hay., barn full of hay
We have plenty of time., we plenty of time have
Is anyone else going?, anyone else else go
Lightning precedes thunder.,
I'm fixing something., i something fix
When did he go to Europe?, he europe go to when
Have you sold it yet?, you it yet sell
Some even accused him of treason., some even him treason accuse
I'm usually pretty patient., i pretty patient usually pretty
Do you feel like eating?, you feel like eat
Tom wants Mary's approval., tom mary 's mary approval want
They plotted against the government., they government plot against
He compared the copy with the original., he original copy original compare
I'd never let you do that., i you that let do no
I never knew my father., i my my father know no
Tom wrote to a friend., tom friend write to
"All right, I'll do it.", i all right it do
I didn't want you involved in this., i you this want involve in no
Give him a hug., him hug give
I just came from there., i just come from
This website is very useful., this website very useful this very
How did you find me?, you me find how
I had an interesting day today., i interest interest day today have
Taking off is easier than landing., taking off easy than taking off land
"He had no more than 10,000 yen.","he more no more than 10,000 yen have"
I have different priorities than you do., i different you different priority do have do
"You really are in trouble, aren't you?", you you really trouble no
Birds fly long distances., birds long long distance fly
We won't get off this island alive., we alive this island get off no
She gave him something to drink., she him something drink give drink
Slavery is a crime against humanity., slavery crime against humanity
I have frizzy hair., i frizzy frizzy hair have
He is apt to forget people's name., he apt forget people 's people name forget
Tom explained why he was there., tom he there explain why
I hate milk., i milk hate
I keep a diary., i diary keep
This is a very tall tree., this tall very tall tree
That never even crossed my mind., that my even my mind cross no
Don't eat the oysters., oyster eat no
Can you use a computer?, you computer use
I'll be very frank with you., i very frank with very you
Cars arrived there one after another., cars there one after another arrive there
I've just finished dinner., i just dinner finish
Don't talk to me like that., me that talk to no
"She has about 2,000 books.","she about 2,000 book have about"
That fact can't be denied., that fact that deny no
I ate a donut., i donut eat
I don't remember anything., i anything remember no
I did try to warn you., i you try warn
What a drag!, what
He transferred his office to Osaka., he his his office osaka transfer
Have you finished reading the novel?, you novel finish read
You're not wanted here., you here want here no
I have never seen anyone like him., i anyone him see no
Grab a spoon., spoon grab
We can all dream., we dream
I don't know how this works., i this know work how no
I had an amazing experience., i amaze amaze experience have
This hall was full of people., this hall full of this people
Tom is the star of the show., tom star of show
They're eating high on the hog., they high hog eat high
I'll transfer you to the right person., i right you right person transfer
That's happening far too often., that far too often happen far
My children don't speak French., my child french speak no
Someone is coming., someone come
Where did you find this wallet?, you this wallet find where
Do you have a girlfriend?, you girlfriend have
I didn't need anyone's help., i anyone 's anyone help need no
Did you wash that?, you that wash
I'd like you to be my partner., i you my my partner like
Did you bring a hair dryer?, you hair dryer bring
You're perfect for me., you perfect for me
There are certainly some points worth considering., there worth certainly some point worth certainly consider
I want something hot to drink., i hot something hot want drink
Many tourists come to see the waterfall., many tourist waterfall come see
I'll be home this evening., i home this even
You should never cut corners on safety., you corner safety cut no
You have my respect., you my my respect have
Ping pong is also called table tennis., ping pong also table tennis call
I tried to tell you., i you try tell
Over one hundred people came here., hundred people over one hundred here come here
When did you get this?, you this get when
Tom is very angry., tom very angry very
Why aren't you all laughing?, you all laugh why no
I'm fed up with this wet weather., i wet this wet weather feed up
Tom looks disgusted., tom disgust look
Do you have an opinion?, you opinion have
I don't want to do this anymore., i this anymore want do no
I've got to do this., i this get do
She won't like this., she this like no
What's it made from?, it make from what
It's no good talking about it., it good no good it talk about
Air is lighter than water., air light than water
You have restored my faith in humanity., you my my faith in humanity restore
Did you think you were right?, you you right think
Everybody was staring at me., everybody me star at
He had no friend to help him., he no friend help him have help
You should act more calmly., you more calmly act more
Please don't get up., get up no
Isn't this nice?, this nice no
Tom should be back before 2:30.,tom back 2:30
Do you accept credit cards?, you credit card accept
We didn't reach the summit., we summit reach no
"You're not helping, Tom.", you tom help no
Everyone's gone home., everyone 's home go home
Their wedding is tomorrow., their wed tomorrow
You made this all possible., you this all possible make
I told him to be quiet., i quiet him tell
Tom gives us what we want., tom we us give want what
I can't believe you said that., i you that believe say no
We didn't stay home yesterday., we home yesterday stay home no
I ran outside., i outside run outside
It's a large one., it large large one
Keep an eye on him., eye him keep
You're still alive., you alive still
They are very compatible., they very compatible very
I believe all that., i all that believe
I'm going to buy some bread., i some bread go buy
All of us got into the car., all of us car get into
You're a child., you child
There aren't many trees near my house., there many my many tree near my house no
Leave me alone., me alone leave
I know you helped Tom., i you tom know help
I can see you're frightened., i you frighten see
I know that Tom is a liar., i tom liar know
Stop cracking your knuckles., your your knuckle stop crack
She looked all around., she all around look all
I brought a present for you., i present for you bring
Children play with toys., children toy play with
Is there anything you want to know?, there you anything want want know
I'm not sure it's a good idea., i sure it 's good good idea no
He reads a novel every day., he novel every day read
I don't like sleeping in a hammock., i hammock like sleep in no
We're not happy., we happy no
Where are our children?, our child where
I forgot my bag., i my my bag forget
I was too shy to say anything., i too shy say too anything say
We need to cut costs., we cost need cut
I've got a long way to go., i long long way go get go
They live near the beach., they beach live near
They'll never make it., they it make no
Something's wrong with the dishwasher., dishwasher
I need to get to bed., i bed need get to
My father usually comes home at seven., my father usually home seven come home
Give me your flashlight., your me your flashlight give
It was excessive., it excessive
Tom salted his eggs., tom his his egg salt
His father is Japanese., his father japanese
My foot hurts., my foot hurt
Do you have an English dictionary?, you english english dictionary have
I have a Canadian neighbor., i canadian canadian neighbor have
Which program did you watch yesterday?, you which program yesterday watch
You can not miss it., you it miss no
Your secret's safe with us., your safe us
Why not look into the matter yourself?, matter yourself look into why no
Why are you sweating so much?, you so much sweat so why
How long does it take by car?, it long car take by how
You're all I've got., you i all get get
Tom won't be arrested., tom arrest no
"Buy low, sell high.", low high low high buy sell
You're so serious., you so serious so
They're not a threat., they threat no
This tree is about 300 years old.,this tree year old this about 300 year
That boy is running., that boy that run
She sent him a postcard., she him postcard send
Don't judge me., me judge no
I'll make you a new suit., i you new make
She will be here before long., she here long
I'll eat something light., i light something light eat
We'll go to church this evening., we church this even go to
You must be in good physical condition., you good physical good physical condition
Where can I buy snacks?, i snack buy where
Your guess is as good as mine., your guess as good as as mine
Don't read in this room., this room read in no
Many people are still missing., many people still miss
I hope you're not offended., i you hope offend no
They don't really care., they really care no
They all have drinks., they all drink have
It rained five successive days., it successive five successive day rain
What would you like to be called?, you like call what
Was that all you saw?, that you all saw saw
I've done my job., i my my job do
I think I need a drink., i i drink think need
I haven't eaten anything since this morning., i anything this morning eat no
I know Tom is in., i tom in know
I'm not ready to do that yet., i ready do that yet do no
He did his best to rescue her., he his best his best her do rescue
I don't want to do this here., i this here want do no
I've locked the front door., i front front door lock
I'm well aware of the risks., i well aware of well risk
Tom is a teenager., tom teenager
I'm still working on this., i still this work on
Tom is taller and fatter than me., tom taller and fatter than me
I want you to stay here longer., i you here longer want stay here
I'm not even tired., i even tire even no
He introduced his sister to me., he his his sister me introduce
She told him that she was sad., she she sad him tell
Who forced you to do that?, you that force do who
You owe me something., you me something owe
That's what I'm asking you to do., that i you ask do what
Let's check one more time., 's more one more time let check
I was very flattered., i very flattered very
I never thought I would do that., i i that think do no
I don't want to change anything., i anything want change no
I can't eat pork., i pork eat no
This won't help us., this us help no
They won the kissing contest., they kiss contest win
There is no school today., there no school today
She earns her living by teaching., she her her live by teach earn live by
Do you want to see something gross?, you gross something gross want see
He is absorbed in his work., he his his work absorb in
We're imagining things., we thing imagine
I think that Tom is a CPA., i tom cpa think
Did you call the police?, you police call
What time did you get home?, you what time home get home
"First, you must protect yourself.", you first yourself protect
This company sold unsafe products., this company unsafe this unsafe product sell
She is late., she late
Tom was really tired., tom really tire really
I'm ordering you to leave immediately., i you immediately order leave immediately
I remember this., i this remember
I saw her again., i her again saw
She denied having met him., she him deny meet
Tom is Mary's stepson., tom mary 's mary stepson
No one slept that night., no one no that night sleep
I can't stand hospitals., i hospital stand no
Get these people out of here., these people get
Why isn't Tom sleeping?, tom sleep why no
We walked more quickly than usual., we usual more quickly than walk more
I'll grab it., i it grab
There are five in our family., there our five in our family
Here's my email address., my email address here
Tom finished the job in three days., tom job three day finish
How did you get here?, you here get here how
Do you want something cold to drink?, you cold something cold want drink
I hope this is worth it., i this worth it it hope
"You were right, too.", you right too
What do you think about this plan?, you this plan think about what
What's your most expensive wine?, your expensive wine most what
I'd rather read., i rather read
What is your favorite holiday?, your favorite holiday what
I hate to wait., i hate wait
The road is blocked., road block
It's never too late to learn., it too late learn too learn no
Tom used to be ambitious., tom ambitious use
I bought lots of books., i lot of book buy
I didn't finish the job., i job finish no
I didn't realize you were serious., i you serious realize no
Nobody is forcing you to do this., nobody you this force do
I'm just worried about my weight., i just worry about my just my weight
No one can help you., no one no you help
Would you consider marrying me?, you me consider marry
Tom has been a very good manager., tom good very good manager
I'd better get back home., i better back home get back
The rent is very high., rent very high very
I'm halfway through this crime novel., i halfway through this crime novel
They didn't act quickly., they quickly act quickly no
She fell unconscious to the floor., she unconscious to floor fell
Do you realize how late it's gotten?, you it late realize get how
Maybe you'll succeed., you maybe succeed
I got lost in the woods., i wood lose in
Please bring me a clean knife., clean me clean knife bring
I wonder if something has happened., i something wonder happen
Tom could do with some help., tom some help do with
Why are you so interested in him?, you so interested in so him why
Don't you like swimming?, you like swim no
Are you certain about this?, you certain about this
Let me try something., me something let try
Who's your favorite player?, your favorite your favorite player who
Don't blame me for this., me this blame no
You have a habit of exaggerating everything., you habit of everything have exaggerate
I moved back with my parents., i my back my parent move back
She continued with the work., she work continue with
It didn't hurt at all., it at all hurt at no
I awoke from a long dream., i long long dream awake from
Don't open this box., this box open no
She traveled around Japan., she japan travel around
You can't make us stop., you us make stop no
I hate my boss., i my my bos hate
I declined his invitation to dinner., i his his invitation dinner decline
Do you know when he will come?, you he know come when
Let's go before I change my mind., 's i my my mind let go change
You have no future here., you no future here have
He is my close friend., he my close my close friend
What a gorgeous flower!, gorgeous what
I did think Tom might win., i tom think win
I saw a town in the distance., i town distance saw
I'll be completely honest., i completely honest completely
Only love can break your heart., only love your only your heart break
Your parents know where you are., your parent you know where
It was to be expected., it expect
How can you be so blind?, you so blind so how
I ate lunch with Tom., i lunch tom eat
We have more important matters to discuss., we important more important matter discuss have more discuss
Don't open your books., your your book open no
We're not perfect., we perfect no
I wonder who named this ship., i this ship wonder name who
Tom bends over backwards to please Mary., tom backwards mary bend over please
The scandal ruined his career., scandal his his career ruin
That's a big one., that big big one
"I've missed you so much, Tom."," i much you so much , tom miss"
I've got some chores to do., i some chore do get do
The German domination didn't last very long., german domination very long last very no
You may come if you like., you you come like
We were both thirsty., we thirsty
You look just fine., you just fine just look just
Please don't get angry., angry get no
I immediately started crying., i immediately start cry
I want to take a rest., i rest want take
Were you born here?, you here bear here
I am disappointed at the news., i disappoint at news disappoint at
The supermarket is open Monday through Saturday., supermarket open monday saturday
You must do as I tell you., you i you do tell
It's routine procedure., it routine routine procedure
We'll talk afterwards., we afterwards talk afterwards
May I go home?, i home go home
Draw me a seven-pointed star., pointed me seven pointed star draw
Tom isn't safe., tom safe no
Have you seen my watch?, you my my watch see
Edison was not a bright student., edison bright bright student no
"Stop right there, please.", right there stop right
He gave in to the temptation., he temptation give in
The streets become deserted., street desert become
Let's talk about this., 's this let talk about
They are looking to you for help., they you help look to
We opened this store in 2013.,we this store 2013 open
He leveled his gun at me., he his his gun me level
Climate change is a global problem., climate change global global problem
Do you want him?, you him want
We can't help you anymore., we you anymore help no
We chatted briefly., we briefly chat briefly
Avoid it at all cost., it all cost avoid
I still love you., i still you love
I'm not quite finished yet., i quite finish quite yet no
"From the moment he arrived, everything changed.", he everything moment arrive change
It may break., it break
Did you talk about me?, you me talk about
She's my first love., she my first my first love
I thought you were dead., i you dead think
Are they all strong?, they strong
She tied him up., she him tie
He comes at noon., he noon come at
I wasn't really listening., i really listen no
I don't have a choice., i choice have no
What time is it by your clock?, it your what time your clock
I locked the front door., i front front door lock
That movie wasn't very interesting., that movie very interest that very no
We all knew about it., we all it know about
Is this a bad time to chat?, this bad bad time chat chat
We don't have this in Europe., we this europe have no
She was shaken by the accident., she by accident accident shake by
I want to see your boss., i your your bos want see
"Anyone who protested, lost his job."," anyone protest , his his job protest lose who"
You speak good English., you good good english speak
Is it your book?, it your your book
My cat died yesterday., my cat yesterday die
Smoking has affected his health., smoking his his health affect
How many people were at your party?, many people your your party how
He's not home., he home no
"Let's go by taxi, OK?", 's taxi let go by
Many young people in Spain are unemployed., many young people in unemployed spain
They are very big., they very big very
He explained the rules in detail., he rule in detail explain
The cashier will give you the discount., cashier you discount give
We won't have much time., we much much time have no
The history of France is very interesting., history of very interest france very
He's as strong as a horse., he as strong as as horse
I just wanted to wish you luck., i you just want wish luck
Tom doesn't know why Mary was crying., tom mary know cry why no
They are Christians., they christians
We're working as fast as we can., we we as fast can work as
I can't believe you're here., i you here believe no
Why are you so tired today?, you so tire so today why
He jumped over a ditch., he ditch jump over
Is that not normal?, that normal no
May I go out for a walk?, i walk go out
Tom has a store in Boston., tom store in boston have
"Of course, we believe you.", we of course you believe
"Hey, open the door.", door open
What a waste of time!, what time
I love your daughter., i your your daughter love
What's your address?, your your address what
I went to school., i school go to
I'm not a good liar., i good good liar no
Don't think about that anymore., that anymore think about no
Tom asked me where he should park., tom he me ask park where
Can you sing a song for everyone?, you song everyone sing
"Could I have the bill, please?", i bill have
Many fish died., many fish die
There's been a terrible mistake., there terrible terrible mistake 's
That's all I want., that i all want want
Please keep this a secret., this secret keep
"You'd tell me the truth, wouldn't you?", you you me truth tell no
Tom looks proud of his son., tom proud of his his son look
Do you have some money?, you some money have
Everybody spoke French., everybody french french speak
He runs well for his age., he his well his age run well
This might hurt a little., this little little hurt
Where is the bathroom?, bathroom where
"In the summer, I wear cotton shirts.", i summer cotton shirt wear
Can you cancel?, you cancel
We're the same age., we same same age
He failed the entrance exam., he entrance exam fail
What's troubling you?, trouble you what
Leave me alone!, me alone leave
He made the children laugh., he child make laugh
What were you doing last night?, you last last night do what
He wants these shirts washed., he these shirt these want wash
Tom couldn't tell what the problem was., tom problem tell what no
Who's this hot babe?, hot this hot babe who
I don't have that much time left., i much that much time leave have leave no
Nothing is worse than war., nothing bad than war
What choices do we have?, we what choices have
That was unforgivable., that unforgivable
Should we run for it?, we it run for
I want them all shot., i them all want shot
The man finally confessed., man finally confess
Did you actually see it?, you actually it see
I'm just a little bored., i little bored just little
We assumed that you were dead., we you dead assume
You'll need this more than I do., you more i this more do need do
Compare your translation with his., your your translation his compare
I have to report this to Tom., i this tom have report
Tom got another letter from Mary today., tom another letter mary today get
I can't thank him enough., i him enough thank no
I will gladly help you., i gladly you help
That will not do., that do no
I wasn't prepared for it., i prepare for it prepare for no
This is a photograph of my home., this my photograph of my home
That's not what I hear., that i hear what no
It seems that something has happened., it something seem happen
"Please be quiet, everybody.", quiet everybody
Many children were playing in the park., many child park play in
Not everyone agreed., not everyone agree
Tom handed Mary a bottle of water., tom mary bottle of water hand
Has something happened to Tom?, something tom happen to
This is a hybrid., this hybrid
I've only been here for a month., i only here month
I'd like to go with you., i you like go with
I can't believe we're doing this., i we this believe do no
We would often talk about our future., we our often our future talk about
Don't you see what's happened?, you see happen what no
Tom doesn't have a bicycle., tom bicycle have no
I feel a lot safer now., i lot safe lot now feel
How does it work?, it work how
Would you like another glass of wine?, you another glass of wine like
They have access to the library., they access to library have
Tom still lives at home., tom still home live at
I wonder who wrote this note., i this note wonder write who
He's your friend., he your your friend
Is it cloudy?, it cloudy
Tell me this isn't true., this true me tell no
I smell something burning., i something smell burn
You deserve a present., you present deserve
Don't you get bored when you're alone?, you bore you alone get when no
Things were different in those days., things different in those day
This milk tastes funny., this milk funny this funny taste
It's always been like that., it always that
We understand why., we understand why
Traffic accidents are increasing in number., traffic accident number increase in
I don't know very many people here., i many very many people here know very no
She can play the piano., she piano play
I had my doubts about you., i my my doubt about you have
I've never lived in Australia., i australia live in no
The car isn't worth repairing., car worth repair repair no
I enjoy working here., i here work here
I didn't finish reading that book., i that book finish read no
She seemed uninterested., she uninterested uninterested seem
She wears heavy makeup., she heavy heavy makeup wear
Was I wrong?, i wrong
He wants to be a tennis player., he tennis player want
"Folks, it's time I was leaving.", it i folks time leave leave
Would you like to meet Tom?, you tom like meet
Do you want me to wait?, you me want wait
She told me an interesting story., she interest me interest story tell
He's afraid that he might be late., he afraid he be late
What difference would that've made?, that what difference make
Is this a dream?, this dream
I'm interested in your work., i interested in your your work
Can you light the way?, you way light
My father loves pizza., my father pizza love
We're not prisoners., we prisoner no
Can I at least get a hug?, i least at least hug get
I'll do what must be done., i do do what
Don't forget that she's a woman., she woman forget no
I have caught a cold., i cold catch
It's not your fault., it your your fault no
"Today, I have other plans.", i other today other plan have
We couldn't do that., we that do no
I heard explosions., i explosion hear
See you soon!, you soon see
"Hey, where did you two come from?", you two come from where
Was it an explosion?, it explosion
I must destroy you., i you destroy
He didn't want to sell the book., he book want sell no
Someone attacked Tom., someone tom attack
Tom has three weeks of paid vacation., tom three week of pay vacation have pay
When will we get there?, we there get there when
I don't know. Let me check., i me know let check no
Everything is on the house., everything house
